ID,City,MatchNumber,Team1,Team2,TossWinner,TossDecision,WinningTeam,WonBy,Margin,Player_of_Match
1312200,Ahmedabad,Final,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,Gujarat Titans,Wickets,7,HH Pandya
1312199,Ahmedabad,Qualifier 2,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,Wickets,7,JC Buttler
1312198,Kolkata,Eliminator,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,Royal Challengers Bangalore,Runs,14,RM Patidar
1312197,Kolkata,Qualifier 1,Rajasthan Royals,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,Wickets,7,DA Miller
1304116,Mumbai,70,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,bat,Punjab Kings,Wickets,5,Harpreet Brar
1304115,Mumbai,69,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,5,JJ Bumrah
1304114,Mumbai,68,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Rajasthan Royals,Wickets,5,R Ashwin
1304113,Mumbai,67,Gujarat Titans,Royal Challengers Bangalore,Gujarat Titans,bat,Royal Challengers Bangalore,Wickets,8,V Kohli
1304112,Navi Mumbai,66,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,Lucknow Super Giants,Runs,2,Q de Kock
1304111,Mumbai,65,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,Runs,3,RA Tripathi
1304110,Navi Mumbai,64,Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,Runs,17,SN Thakur
1304109,Mumbai,63,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,Runs,24,TA Boult
1304108,Mumbai,62,Chennai Super Kings,Gujarat Titans,Chennai Super Kings,bat,Gujarat Titans,Wickets,7,WP Saha
1304107,Pune,61,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,bat,Kolkata Knight Riders,Runs,54,AD Russell
1304106,Mumbai,60,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Punjab Kings,Runs,54,JM Bairstow
1304105,Mumbai,59,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,Wickets,5,DR Sams
1304104,Navi Mumbai,58,Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,Wickets,8,MR Marsh
1304103,Pune,57,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,Gujarat Titans,Runs,62,Shubman Gill
1304102,Navi Mumbai,56,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,Runs,52,JJ Bumrah
1304101,Navi Mumbai,55,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,Runs,91,DP Conway
1304100,Mumbai,54,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Runs,67,PWH de Silva
1304099,Pune,53,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Lucknow Super Giants,Runs,75,Avesh Khan
1304098,Mumbai,52,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Rajasthan Royals,Wickets,6,YBK Jaiswal
1304097,Mumbai,51,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,Runs,5,TH David
1304096,Mumbai,50,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Delhi Capitals,Runs,21,DA Warner
1304095,Pune,49,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore,Runs,13,HV Patel
1304094,Navi Mumbai,48,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,Punjab Kings,Wickets,8,K Rabada
1304093,Mumbai,47,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,Wickets,7,RK Singh
1304092,Pune,46,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,Runs,13,RD Gaikwad
1304091,Mumbai,45,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,Lucknow Super Giants,Runs,6,Mohsin Khan
